Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Treatment,PriceCarat,FancyColor,Fancy Color Intensity,Fancy Color Overtone,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Comment,Country,State,City,Is Matched Pair Separable,Pair Stock #,Allow RapLink Feed,Parcel Stones,Certificate Filename,Diamond Image,3D File,Trade Show,Member Comment,alibabaPrice,ExportToAlibaba
221-472A,G,RBC,0.50,M,VS1,VG,EX,VG,N,N,4.96*4.91*3.18,GIA,2346766180,,748.000,,,,64.30,58.00,STK to THK,,5.50,Faceted,NONE,,16.50,38.00,42.50,40.40,GIA 2346766180,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-10G,G,PB,0.70,F,VS1,EX,EX,VG,N,N,7.77*5.15*3.04,GIA,1359537024,,2440.000,,,,59.00,63.00,MED to THK,,,Faceted,NON,,,,,,GIA 1359537024,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-10B,M,RBC,0.35,F,SI1,EX,EX,EX,F,N,4.53*4.50*2.81,GIA,1355516248,,1152.000,,,,62.20,56.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.00,40.80,GIA 1355516248,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
232-293A,G,RBC,0.26,E,VS2,EX,EX,EX,F,N,4.11*4.10*2.54,GIA,6352589211,,1335.000,,,,61.80,56.00,MED to STK,,4.00,Faceted,NON,,15.50,35.00,42.50,40.60,GIA 6352589211,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
222-181B,G,PR,0.30,E,SI2,EX,VG,VG,N,N,3.79*3.73*2.71,GIA,7348766434,,700.000,,,,72.70,69.00,MED to THK,,,Faceted,NONE,,,,,,GIA 7348766434,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
2986-6,G,RBC,0.90,E,VS1,EX,EX,VG,N,N,6.17*6.13*3.83,GIA,5336057239,,4158.000,,,,62.40,58.00,,,,,,,15.50,,43.00,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
235-41A,G,RBC,0.61,D,VVS1,EX,EX,EX,M,BLUE,5.42*5.38*3.36,GIA,2356068032,,3848.000,,,,62.30,59.00,MED to STK,,4.00,Faceted,NONE,,15.00,36.00,43.50,41.00,GIA 2356068032,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
215-10A,G,PB,0.40,G,SI2,VG,EX,VG,N,N,6.19*4.07*2.56,GIA,1347308156,,885.500,,,,63.00,61.00,STK to VTK,,,Faceted,NONE,,,,,,GIA 1347308156,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
217-62A,G,PB,0.70,K,SI1,VG,EX,G,N,N,7.69*4.76*2.98,GIA,2344462384,,908.000,,,,62.70,58.00,MED to ETK,,,Faceted,NONE,,,,,,GIA 2344462384,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
222-491B,G,MQ,0.29,G,VVS1,EX,EX,G,N,N,6.36*3.65*2.16,GIA,2346863046,,863.100,,,,59.30,58.00,STK to VTK,,,Faceted,NONE,,,,,,GIA 2346863046,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-7B,G,MQ,0.40,J,SI2,VG,VG,G,N,N,8.04*3.84*2.24,GIA,2356569855,,599.500,,,,58.40,52.00,MED to VTK,,,Faceted,NON,,,,,,GIA 2356569855,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
225-3A,G,RBC,1.00,H,SI2,EX,EX,VG,N,N,6.34*6.39*3.96,IGI,425073422,,2318.750,,,,62.10,59.00,Medium To Slightly Thick (Faceted) ,,3.90,,Pointed,,15.00,35.50,43.50,41.10,,IDEAL CUT ROUND BRILLIANT,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-77A,G,RBC,0.50,I,SI2,EX,EX,EX,M,BLUE,5.19*5.17*3.09,GIA,6352536486,,1089.900,,,,59.70,60.00,MED to STK,,3.50,Faceted,NON,,13.00,33.00,43.50,41.00,GIA 6352536486,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-23A,G,RBC,0.59,H,VVS1,EX,EX,EX,N,N,5.36*5.33*3.36,GIA,2354535096,,2155.600,,,,62.90,56.00,MED,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 2354535096,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
222-311A,G,MQ,0.30,I,VS1,EX,EX,VG,N,N,6.47*3.65*2.23,GIA,2348863049,,609.000,,,,61.20,55.00,VTN to VTK,,,Faceted,NONE,,,,,,GIA 2348863049,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-15A,G,OV,0.70,F,VVS1,VG,EX,G,N,N,7.02*5.01*3.02,GIA,6355540091,,2662.000,,,,60.30,57.00,THK to VTK,,,Faceted,NON,,,,,,GIA 6355540091,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
231-226A,G,OV,0.30,I,VS2,G,EX,G,F,N,4.92*3.67*2.38,GIA,1359346497,,780.000,,,,64.80,54.00,VTK to ETK,,,Faceted,NON,,,,,,GIA 1359346497,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
220-80A,G,EM,0.30,E,SI2,G,EX,F,N,N,4.19*3.23*2.28,GIA,7342877433,,581.000,,,,70.60,64.00,MED to VTK,,,Faceted,NONE,,,,,,GIA 7342877433,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-62A,G,RBC,1.00,I,SI2,EX,EX,VG,S,BLUE,6.43*6.35*4.01,GIA,6351489505,,2702.350,,,,62.70,54.00,MED to STK,,4.50,Faceted,NON,,14.00,32.00,44.00,41.40,GIA 6351489505 ,"Additional twinning wisps, additional clouds, pinpoints and surface graining are not shown.",INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
217-57A,G,RBC,1.01,M,SI2,EX,EX,EX,N,N,6.39*6.44*3.97,IGI,407973569,,1190.000,"M,FB  ",,,61.80,59.00,Medium To Slightly Thick (Faceted) ,,3.90,Faceted,Pointed,,14.50,34.80,43.50,41.20,,IDEAL CUT ROUND BRILLIANT,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
244-8A,G,RBC,0.61,G,IF,EX,EX,EX,N,N,5.47*5.44*3.37,GIA,2356589209,,2657.460,,,,61.80,58.00,MED to STK,,4.00,Faceted,NON,,13.50,33.00,44.00,41.60,GIA 2356589209,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
223-26A,G,OV,0.96,I,VS1,VG,EX,VG,N,N,7.44*5.74*3.37,GIA,5343539601,,2379.000,,,,58.70,62.00,MED to VTK,,,Faceted,NONE,,,,,,GIA 5343539601,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
220-290A,G,PB,0.31,J,VVS1,EX,EX,VG,N,N,5.78*3.81*2.36,GIA,2346738422,,651.000,,,,62.00,60.00,THN to VTK,,,Faceted,NONE,,,,,,GIA 2346738422,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
225-146A,G,OV,0.69,K,SI2,VG,EX,VG,F,N,6.97*4.78*3.03,GIA,1358016057,,678.000,,,,63.50,59.00,THK to VTK,,,Faceted,NONE,,,,,,GIA 1358016057,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-203A,G,EM,0.42,J,SI1,EX,EX,VG,S,BLUE,5.20*3.59*2.36,GIA,6352119445,,516.000,,,,65.70,64.00,MED to THK,,,Faceted,NONE,,,,,,GIA 6352119445,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
211-228A,G,RBC,1.20,F,SI2,VG,EX,EX,M,N,6.65*6.70*4.27,IGI,407973591,,2256.750,,,,64.10,56.00,Medium To Slightly Thick (Faceted) ,,4.50,Faceted,Pointed,,17.00,38.10,42.50,40.40,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
246-12A,G,EM,1.00,G,SI2,VG,EX,VG,F,N,7.47*4.58*2.94,GIA,5356518779,,1890.000,,,,64.10,62.00,VTN to THK,,,,NON,,,,,,GIA 5356518779 ,"Additional twinning wisps, additional clouds, pinpoints and surface graining are not shown.",INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-48A,G,OV,0.71,K,SI1,EX,EX,VG,M,BLUE,6.92*4.91*3.16,GIA,1359528582,,900.000,,,,64.40,59.00,STK to VTK,,,Faceted,NON,,,,,,GIA 1359528582 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-21C,G,MQ,0.41,D,IF,EX,EX,VG,N,N,7.29*4.00*2.35,GIA,5356203557,,1904.000,,,,58.80,59.00,THK to VTK,,,Faceted,NON,,,,,,GIA 5356203557 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
241-1A,G,RBC,0.60,M,SI1,EX,EX,EX,N,N,5.44*5.41*3.34,GIA,2356230246,,805.000,,,,61.50,60.00,STK,,4.00,Faceted,NONE,,12.50,32.50,44.50,41.80,GIA 2356230246 ,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-O, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-84A,G,RBC,1.00,I,SI2,G,VG,VG,F,N,6.28*6.35*3.85,IGI,432029814,,1715.000,,,,61.00,60.00,Thick To Very Thick (Faceted) ,,6.20,,Pointed,,13.50,33.90,41.00,39.60,,N/A,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-108A,G,PR,1.20,J,SI2,VG,EX,VG,F,N,5.85*5.68*4.27,GIA,7353288185,,1648.000,,,,75.20,71.00,STK to VTK,,,,NON,,,,,,GIA 7353288185 ,Clouds are not shown. Pinpoints are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
242-14F,M,OV,0.38,E,SI2,VG,EX,VG,N,N,5.99*4.11*2.40,GIA,2356517676,,836.500,,,,58.30,55.00,MED to THK,,,Faceted,NON,,,,,,GIA 2356517676 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
238-95A,G,MQ,0.30,G,VS2,VG,EX,G,S,BLUE,6.92*3.34*2.15,GIA,3355282986,,770.000,,,,64.30,55.00,THN to ETK,,,Faceted,NON,,,,,,GIA 3355282986,,INDIA,,HONG KONG,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
222-335A,G,MQ,0.30,F,VVS1,EX,EX,VG,N,N,6.90*3.58*2.09,GIA,5346890483,,1304.350,,,,58.40,56.00,MED to THK,,,Faceted,NONE,,,,,,GIA 5346890483,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
234-131A,G,RBC,0.70,M,VS1,VG,VG,VG,N,N,5.83*5.82*3.39,GIA,7346643675,,892.500,,,,58.10,65.00,MED to STK,,3.50,Faceted,NONE,,11.00,32.50,43.50,41.00,GIA 7346643675,,INDIA,,MUMBAI,,,,,,,,,"GIA Color Is:-Q, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-102A,G,PR,1.00,J,SI2,VG,VG,VG,M,N,5.37*5.36*3.77,IGI,425073416,,1264.000,,,,70.30,70.50,Medium To Slightly Thick,,3.40,,Pointed,,15.00,52.10,52.50,36.30,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-19A,G,RBC,1.00,K,SI2,EX,EX,EX,F,N,6.47*6.43*3.90,GIA,1359517956,,2241.000,,,,60.50,61.00,MED to STK,,4.00,Faceted,NON,,12.50,33.00,44.00,41.40,GIA 1359517956 ,"Additional twinning wisps, pinpoints and surface graining are not shown.",INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
237-138A,G,RBC,0.31,E,VVS2,EX,EX,EX,M,BLUE,4.41*4.39*2.67,GIA,6351622783,,1350.000,,,,60.80,59.00,MED to STK,,3.50,Faceted,NON,,13.00,32.50,44.00,41.40,GIA 6351622783,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
1219-12,G,RBC,1.01,H,I2,VG,EX,VG,N,N,6.27*6.20*4.03,GIA,6342255926,,1974.000,,,,64.60,56.00,,,,,,,17.50,,42.00,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
246-56A,G,OV,0.80,K,SI1,VG,EX,VG,N,N,6.98*5.30*3.23,GIA,2356528474,,1096.000,,,,60.90,59.00,STK to ETK,,,Faceted,NON,,,,,,GIA 2356528474 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
246-18A,G,PR,1.20,H,SI1,G,EX,VG,F,N,5.58*5.51*4.27,GIA,2354511595,,2712.000,,,,77.50,73.00,THK to VTK,,,,NON,,,,,,GIA 2354511595 ,Pinpoints are not shown.,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-59A,G,RBC,1.00,I,VS2,VG,EX,G,F,N,6.34*6.26*3.99,GIA,6355489483,,3117.100,,,,63.40,56.00,THN to THK,,5.00,Faceted,NON,,15.00,34.00,43.50,41.20,GIA 6355489483 ,Clouds are not shown. Pinpoints are not shown.,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
227-44B,G,PR,1.00,I,SI2,EX,VG,,N,N,5.56*5.41*3.97,IGI,407914623,,1187.500,,,,73.40,71.50,Medium To Slightly Thick,,4.00,Faceted,Pointed,,10.00,43.50,60.00,39.80,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
212-56A,G,RBC,0.98,E,SI2,EX,EX,EX,N,N,6.36*6.31*3.92,GIA,6355096143,,3075.000,,,,61.90,61.00,MED to STK,,4.00,Faceted,NONE,,13.50,35.00,44.00,41.40,GIA 6355096143,"Additional clouds, pinpoints and surface graining are not shown.",INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
232-160A,G,RBC,0.20,E,VVS2,EX,EX,EX,N,N,3.77*3.74*2.35,GIA,3355589180,,1386.000,,,,62.60,57.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.50,41.00,GIA 3355589180,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
246-83A,G,RBC,0.70,I,VS2,EX,EX,VG,S,BLUE,5.67*5.61*3.55,GIA,3355630568,,1858.100,,,,63.00,57.00,THN to STK,,4.00,Faceted,NON,,14.50,34.00,44.00,41.40,GIA 3355630568,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-107A,G,PR,1.00,G,SI2,VG,VG,VG,N,N,5.35*5.34*4.06,IGI,425073436,,1417.500,,,,76.00,67.00,Medium,,2.80,,Pointed,,15.00,47.00,58.50,39.60,,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
215-263A,G,RBC,1.50,I,SI2,EX,EX,EX,N,N,7.35*7.40*4.48,IGI,400945518,,2501.000,,,,60.70,59.00,Medium (Faceted) ,,3.50,,Pointed,,14.00,35.00,43.00,40.90,,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-83A,G,PB,0.99,E,SI2,VG,G,VG,F,N,9.02*5.49*3.39,IGI,425073414,,2268.000,,,,61.70,68.00,Medium To Very Thick (Faceted) ,,3.90,,Pointed,,10.50,32.30,47.00,42.00,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-97A,G,PR,0.96,H,SI2,VG,VG,G,F,N,5.20*5.19*3.95,IGI,425073435,,1458.000,,,,76.10,68.50,Medium To Thick,,4.90,,Pointed,,15.00,47.20,55.50,38.20,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
221-336A,G,OV,0.50,K,VS2,G,EX,G,F,N,5.72*4.42*2.92,GIA,7346752858,,763.000,,,,66.10,53.00,THK to ETK,,,Faceted,NONE,,,,,,GIA 7346752858,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
240-107A,G,RBC,0.24,E,VS1,EX,EX,EX,N,N,3.98*3.95*2.50,GIA,2354588755,,1477.500,,,,63.00,56.00,MED to STK,,3.50,Faceted,NON,,16.00,36.00,43.00,41.00,GIA 2354588755 ,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-105A,G,MQ,0.70,H,I1,VG,EX,VG,M,BLUE,8.54*4.76*2.83,GIA,7358629961,,1045.000,,,,59.40,59.00,MED to VTK,,,Faceted,NON,,,,,,GIA 7358629961,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
243-3A,G,RBC,1.01,H,SI2,EX,EX,EX,N,N,6.38*6.42*4.01,IGI,425073432,,2199.500,,,,62.60,55.50,Medium (Faceted) ,,3.60,,Pointed,,16.50,36.40,42.50,40.50,,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
226-12B,G,MQ,0.38,K,VS2,VG,EX,VG,N,N,7.05*3.97*2.32,GIA,3345863050,,438.750,"K,FB",,,58.50,62.00,THK to VTK,,,Faceted,NONE,,,,,,GIA 3345863050,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
245-8B,G,OV,1.00,D,SI2,VG,VG,VG,N,N,7.42*5.58*3.56,IGI,425073420,,2116.500,,,,63.80,64.50,Slightly Thick To Very Thick (Faceted) ,,6.80,,Pointed,,13.00,39.60,44.00,40.80,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
227-35B,G,RBC,0.34,F,VVS1,EX,EX,EX,N,N,4.50*4.47*2.75,GIA,1343827477,,1956.250,,,,61.30,60.00,MED to STK,,4.00,Faceted,NONE,,13.00,33.00,44.50,41.80,GIA 1343827477,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
239-28A,G,RBC,2.01,H,SI2,VG,EX,VG,F,N,7.86*7.90*5.07,IGI,425073430,,3915.000,,,,64.40,56.50,Slightly Thick To Thick (Faceted) ,,5.10,,Pointed,,17.00,37.50,42.50,40.50,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
242-14A,G,RBC,1.01,F,SI2,EX,EX,EX,N,N,6.49*6.53*3.91,IGI,425073423,,2581.250,,,,60.10,61.00,Medium (Faceted) ,,3.50,,Pointed,,12.50,32.20,44.00,41.60,,,INDIA,,NEW YORK,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
221-391A,G,OV,0.40,J,SI2,VG,EX,VG,N,N,5.86*4.12*2.46,GIA,7341850991,,693.000,,,,59.80,57.00,STK to VTK,,,Faceted,NONE,,,,,,GIA 7341850991,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
228-182A,G,RBC,0.30,J,VS2,VG,EX,VG,F,N,4.27*4.23*2.66,GIA,7358120657,,678.750,,,,62.50,58.00,MED to THK,,4.00,Faceted,NONE,,15.50,36.50,43.00,40.80,GIA 7358120657,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
0119-9,G,RBC,0.96,I,I1,VG,EX,VG,N,N,6.23*6.16*3.97,GIA,1349221692,,2114.000,,,,64.10,56.00,,,,,,,16.50,,43.50,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
212-96A,G,PB,0.32,J,VS2,VG,VG,G,N,N,6.04*4.02*2.23,GIA,5343482960,,617.500,,,,55.40,62.00,THN to VTK,,,Faceted,NONE,,,,,,GIA 5343482960,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
225-37A,G,RBC,1.01,L,SI2,EX,EX,EX,F,N,6.39*6.46*3.94,IGI,414079630,,1493.250,,,,61.40,61.00,Medium To Slightly Thick (Faceted) ,,4.00,,Pointed,,13.00,33.90,44.00,41.70,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
241-64A,M,RBC,1.01,K,VS1,VG,EX,VG,N,N,6.29*6.21*4.04,GIA,1357031123,,2552.000,,,,64.70,60.00,STK to THK,,5.50,Faceted,NONE,,14.50,35.50,44.50,41.80,GIA 1357031123,Additional clouds are not shown. Pinpoints are not shown.,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
3227-6,G,RBC,1.00,I,VVS1,EX,EX,VG,N,N,6.39*6.32*4.00,GIA,1338819449,,3969.750,,,,63.00,58.00,,,,,,,14.50,,44.50,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
3227-5,G,RBC,1.17,I,VVS2,EX,EX,EX,N,N,6.74*6.71*4.19,GIA,1335823977,,4095.000,,,,62.30,58.00,MED to STK,,,Faceted,,,14.50,,43.50,,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
232-205B,G,EM,0.30,E,IF,EX,EX,VG,N,N,4.35*3.37*2.32,GIA,1359346116,,1147.700,,,,68.80,63.00,STK to THK,,,,NON,,,,,,GIA 1359346116,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
16876-18,G,RBC,1.01,K,VS2,EX,EX,EX,S,N,6.45*6.40*3.92,GIA,7322602280,,2352.000,,,,61.00,59.00,MED to STK,,,Faceted,,,14.00,34.50,42.50,40.60,,,INDIA,,MUMBAI,,,,,,,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,
