Stock No,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Lab,Certificate Number,Price Per Carat,Rapnet  Discount,Depth,Table,GirdleThin,GirdleThick,GirdlePercent,GirdleCondition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Star Length,Lower Half,Laser Inscription,Key to symbols,City,State,Country,Shade,MeasLength,MeasWidth,MeasDepth,Ratio,Treatment,Black Inclusion,White Inclusion,Open Inclusion,Milky,Heart and Arrow,Eye Clean,Comment,Member Comment,Supplier Comment,Trade Show No,Pair Stock #,Diamond Image,Certificate Image,Video Link,H & A Image,Plotting Image
221-293A,G,RBC,0.40,M,VS2,EX,EX,VG,N,N,4.70*4.64*2.96,,,,GIA,6345766038,537.000,-55.250,63.30,56.00,,,3.50,Faceted,NONE,,16.50,36.50,43.00,40.80,50,,GIA 6345766038,"Crystal, Cloud, Indented Natural",MUMBAI,,INDIA,White,4.70,4.64,2.96,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-192B,G,RBC,0.30,M,SI2,EX,EX,VG,N,N,4.33*4.29*2.62,,,,GIA,6351630496,423.120,-47.110,60.90,59.00,,,4.00,Faceted,NON,,13.50,33.50,43.00,40.80,50,,GIA 6351630496,"Cloud, Crystal",MUMBAI,,INDIA,BROWN,4.33,4.29,2.62,0.99,,TABLE BLACK 1,NONE VISIBLE,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
246-102A,G,RBC,1.00,D,I1,F,EX,VG,M,BLUE,6.08*6.03*4.02,,,,GIA,3355505346,2160.000,-52.000,66.40,54.00,,,,F,NON,,19.00,40.00,39.50,38.40,50,,,"Twinning Wisp, Indented Natural, Feather, Crystal, Cavity, Natural",MUMBAI,,INDIA,White,6.08,6.03,4.02,0.99,,NONE VISIBLE,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,"Additional twinning wisps, clouds and pinpoints are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
227-85D,G,PB,0.39,G,VVS2,EX,EX,VG,N,N,6.34*4.11*2.40,,,,GIA,7343851033,1076.000,-32.750,58.40,61.00,,,,Faceted,NONE,,,,,,,,GIA 7343851033,"Cloud, Needle, Pinpoint",MUMBAI,,INDIA,White,6.34,4.11,2.40,0.65,,TABLE BLACK 0,NONE VISIBLE,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-111A,G,RBC,0.60,M,SI2,EX,EX,EX,F,N,5.49*5.48*3.24,,,,GIA,7358630691,699.400,-46.200,59.10,62.00,,,3.50,Faceted,NON,,12.50,33.00,43.50,41.00,50,,GIA 7358630691,"Crystal, Feather",MUMBAI,,INDIA,BROWN,5.49,5.48,3.24,1.00,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 1,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-29D,G,OV,0.49,E,SI2,VG,VG,G,F,N,6.73*4.27*2.66,,,,GIA,6352627806,1024.000,-36.000,62.20,58.00,,,,Faceted,NON,,,,,,,,GIA 6352627806,Feather,MUMBAI,,INDIA,White,6.73,4.27,2.66,0.63,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-106A,G,PB,0.70,H,SI2,EX,EX,VG,M,BLUE,8.22*4.83*2.93,,,,GIA,3355570004,1278.000,-46.750,60.70,58.00,,,,Faceted,NON,,,,,,,,GIA 3355570004,"Crystal, Twinning Wisp, Feather",NEW YORK,,INDIA,White,8.22,4.83,2.93,0.59,,NONE VISIBLE,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-98D,G,OV,0.30,I,SI1,G,VG,G,N,N,5.28*3.62*2.33,,,,GIA,6351056146,607.750,-44.750,64.30,63.00,,,,Faceted,NONE,,,,,,,,GIA 6351056146,"Feather, Cavity",MUMBAI,,INDIA,BROWN,5.28,3.62,2.33,0.69,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
240-287A,G,RBC,0.19,E,VS2,EX,EX,EX,N,N,3.76*3.75*2.27,,,,GIA,2357588710,1278.110,11.140,60.50,59.00,,,3.50,Faceted,NON,,13.00,32.50,43.50,41.40,50,,GIA 2357588710,"Crystal, Cloud, Feather",MUMBAI,,INDIA,White,3.76,3.75,2.27,1.00,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-10A,G,OV,0.96,M,VS2,G,EX,VG,N,N,7.81*5.57*3.22,,,,GIA,1358183528,828.000,-54.000,57.80,56.00,,,,Faceted,NON,,,,,,,,GIA 1358183528,"Feather, Cavity, Indented Natural, Cloud, Pinpoint, Needle",MUMBAI,,INDIA,White,7.81,5.57,3.22,0.71,,NONE VISIBLE,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,Additional pinpoints are not shown.,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-105D,G,RBC,0.23,F,VVS1,EX,EX,EX,N,N,4.00*3.98*2.41,,,,GIA,6351230074,1650.750,6.500,60.40,58.00,,,3.50,Faceted,NONE,,13.50,32.50,44.00,41.40,50,,GIA 6351230074 ,"Pinpoint, Internal Graining",MUMBAI,,INDIA,White,4.00,3.98,2.41,1.00,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
9238-32,G,RBC,0.50,G,I1,VG,VG,G,N,,5.08*5.03*3.13,,,,GIA,2358742980,1238.400,-31.200,61.90,58.00,,,,Faceted,N/A,,0.15,,0.43,,,,,,MUMBAI,,INDIA,White,5.08,5.03,3.13,0.99,,TABLE BLACK 0,WHITE TABLE 2,TABLE OPEN 0,None,0,SURE,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
246-69A,G,OV,1.00,D,SI2,G,EX,VG,F,N,7.37*5.51*3.52,,,,GIA,2356470978,2845.800,-44.200,63.80,55.00,,,,Faceted,NON,,,,,,,,GIA 2356470978 ,"Crystal, Feather, Cavity, Indented Natural, Natural",MUMBAI,,INDIA,White,7.37,5.51,3.52,0.75,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 0,None,NEW YORK,SURE,Clouds are not shown. Pinpoints are not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
205-90A,G,OV,1.29,L,I1,EX,EX,VG,S,BLUE,8.19*6.15*3.89,,,,GIA,1343956737,1147.500,-32.500,63.30,59.00,,,,Faceted,NONE,,,,,,,,,"Feather, Crystal, Twinning Wisp, Cloud, Needle, Extra Facet",NEW YORK,,INDIA,White,8.19,6.15,3.89,0.75,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,"Additional clouds, pinpoints and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
244-61A,G,HT,0.57,F,SI1,EX,EX,VG,N,N,4.90*5.78*3.31,,,,GIA,2356644538,1408.000,-36.000,57.20,57.00,,,,Faceted,NON,,,,,,,,GIA 2356644538,"Feather, Twinning Wisp",MUMBAI,,INDIA,White,4.90,5.78,3.31,1.18,,TABLE BLACK 1,NONE VISIBLE,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-115A,G,CU,1.19,M,VS2,VG,EX,VG,F,N,5.80*5.63*4.08,,,,GIA,6355103630,1990.000,-0.500,72.40,57.00,,,,F,NON,,,,,,,,GIA 6355103630,"Feather, Crystal, Indented Natural, Needle, Extra Facet",MUMBAI,,INDIA,White,5.80,5.63,4.08,0.97,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,Pinpoints are not shown.,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
232-266A,G,EM,0.40,F,VVS1,EX,EX,VG,N,N,4.98*3.45*2.39,,,,GIA,2357026521,1122.000,-53.250,69.10,63.00,,,,Faceted,NONE,,,,,,,,GIA 2357026521,"Pinpoint, Surface Graining, Natural",NEW YORK,,INDIA,White,4.98,3.45,2.39,0.69,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
7217-10,G,CU,1.20,H,VS2,G,EX,VG,N,N,6.01*5.64*4.05,,,,GIA,6355203017,2850.000,-43.000,71.90,65.00,,,,Faceted,,,,,,,,,,"Crystal, Cloud, Needle, Indented Natural, Natural",MUMBAI,,INDIA,White,6.01,5.64,4.05,0.94,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
223-49A,G,OV,2.01,K,VS2,G,EX,VG,S,BLUE,9.12*6.77*4.67,,,,GIA,1345482500,3024.000,-44.000,69.00,57.00,,,,Faceted,NONE,,,,,,,,GIA 1345482500,"Twinning Wisp, Crystal, Indented Natural, Feather",NEW YORK,,INDIA,White,9.12,6.77,4.67,0.74,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,"Clouds, pinpoints and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
232-256A,G,EM,0.31,J,SI2,EX,EX,VG,N,N,4.30*3.24*2.19,,,,GIA,1353258951,400.000,-50.000,67.60,63.00,,,,3.24,2.19,,,,,,,,GIA 1353258951,"Crystal, Feather",MUMBAI,,INDIA,White,4.30,3.24,2.19,0.75,,TABLE BLACK 1 ,WHITE TABLE 1,TABLE OPEN 0,None,NV,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-99A,G,OV,1.00,M,SI1,G,EX,VG,F,N,6.88*5.40*3.68,,,,GIA,7352154316,960.000,-52.000,68.20,59.00,,,,Faceted,NON,,,,,,,,GIA 7352154316,"Feather, Crystal, Indented Natural, Natural",MUMBAI,,INDIA,White,6.88,5.40,3.68,0.78,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,Clouds are not shown. Pinpoints are not shown.,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
243-27B,G,RBC,0.34,E,IF,EX,EX,EX,M,BLUE,4.50*4.48*2.75,,,,GIA,5356516788,2145.000,-28.500,61.20,60.00,,,3.50,Faceted,NON,,13.00,33.00,44.50,41.60,50,,GIA 5356516788 ,Minor Details of Polish,MUMBAI,,INDIA,White,4.50,4.48,2.75,1.00,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-109A,G,OV,1.00,M,SI1,G,VG,VG,N,N,7.25*5.47*3.54,,,,GIA,5356153360,805.000,-59.750,64.70,57.00,,,,Faceted,NONE,,,,,,,,GIA 5356153360,"Feather, Crystal, Indented Natural, Pinpoint, Natural",NEW YORK,,INDIA,White,7.25,5.47,3.54,0.75,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN NO,Additional pinpoints are not shown.,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
SD-072026,G,RBC,1.51,E,I1,EX,EX,EX,M,BLUE,7.35*7.32*4.58,,,,GIA,5356745127,3366.000,-34.000,62.40,56.00,,,,Faceted,0,,0.16,,0.44,,,,,,MUMBAI,,INDIA,White,7.35,7.32,4.58,1.00,,TABLE BLACK 2,NONE VISIBLE,TABLE OPEN 0,None,0,MEDIUM,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
221-435B,G,OV,0.30,J,SI2,EX,EX,VG,N,N,5.26*3.68*2.32,,,,GIA,2346955603,486.000,-39.250,62.90,58.00,,,,Faceted,NONE,,,,,,,,GIA 2346955603,"Feather, Crystal",MUMBAI,,INDIA,White,5.26,3.68,2.32,0.70,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 1,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
DS-25,G,RBC,1.01,D,I1,EX,VG,EX,F,,6.41*6.39*4.01,,,,GIA,2357704312,3150.000,-30.000,62.60,55.00,,,,Faceted,Pointed,,0.16,,0.43,,,,,,MUMBAI,,INDIA,White,6.41,6.39,4.01,1.00,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,MEDIUM,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
243-5A,G,OV,1.20,L,SI1,EX,EX,VG,N,N,8.47*5.98*3.57,,,,GIA,5356288233,1446.000,-39.750,59.70,62.00,,,,Faceted,NON,,,,,,,,GIA 5356288233,"Feather, Crystal, Indented Natural, Pinpoint, Natural",NEW YORK,,INDIA,BROWN,8.47,5.98,3.57,0.71,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,SURE,Additional pinpoints are not shown. Surface graining is not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
222-300A,G,RBC,0.50,M,VS1,VG,EX,VG,N,N,4.96*4.90*3.16,,,,GIA,2356143468,576.000,-64.000,64.00,57.00,,,5.00,Faceted,VSM,,17.50,38.50,41.50,39.80,50,,GIA 2356143468,"Crystal, Needle, Pinpoint, Indented Natural",MUMBAI,,INDIA,White,4.96,4.90,3.16,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
246-87A,G,OV,1.00,L,SI2,VG,VG,VG,F,N,7.56*5.63*3.52,,,,IGI,432029816,1216.700,-47.100,62.50,56.50,,,5.60,,Pointed,,16.50,40.10,40.50,38.30,,,,,NEW YORK,,INDIA,White,7.56,5.63,3.52,0.74,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 1,None,NEW YORK,MINOR,N/A,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
001-2A,G,RBC,1.00,G,SI2,EX,EX,EX,N,,6.49*6.58*3.86,,,,IGI,436054188,2632.000,-53.000,59.10,60.00,,,,0,Pointed,,12.50,32.30,43.00,40.80,,,,,MUMBAI,,INDIA,White,6.49,6.58,3.86,1.01,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,MINOR,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
245-101A,G,RBC,0.50,E,I1,EX,EX,VG,F,N,5.10*5.04*3.19,,,,GIA,2356623344,1205.000,-39.750,62.90,55.00,,,3.00,Faceted,NON,,16.50,36.00,43.50,41.20,50,,GIA 2356623344,"Crystal, Feather",MUMBAI,,INDIA,White,5.10,5.04,3.19,0.99,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,NEW YORK,MEDIUM,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
224-14A,G,PB,1.51,I,SI2,EX,EX,VG,N,N,9.80*6.51*3.97,,,,GIA,1349897940,3325.750,-37.250,60.90,61.00,,,,Faceted,NONE,,,,,,,,GIA 1349897940,"Feather, Cloud, Crystal, Needle",NEW YORK,,INDIA,BROWN,9.80,6.51,3.97,0.66,,NONE VISIBLE,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,"Additional clouds, a pinpoint and surface graining are not shown.","WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-100B,G,MQ,0.50,K,VVS2,G,EX,VG,N,N,7.96*4.20*2.35,,,,GIA,7351014210,633.750,-57.750,55.90,62.00,,,,Faceted,NONE,,,,,,,,GIA 7351014210,"Feather, Pinpoint, Internal Graining, Indented Natural",MUMBAI,,INDIA,BROWN,7.96,4.20,2.35,0.53,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
218-168A,G,MQ,0.46,I,VS1,EX,EX,VG,N,N,7.28*4.05*2.59,,,,GIA,5346461977,952.000,-40.500,64.10,53.00,,,,Faceted,NONE,,,,,,,,GIA 5346461977,"Feather, Needle, Cloud",MUMBAI,,INDIA,White,7.28,4.05,2.59,0.56,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
244-36B,G,RBC,0.46,I,VVS1,VG,EX,VG,F,N,4.98*4.93*2.98,,,,GIA,7358569749,1201.640,-45.380,60.10,63.00,,,5.00,Faceted,NON,,11.50,32.00,43.50,41.00,50,,GIA 7358569749 ,Pinpoint,MUMBAI,,INDIA,BROWN,4.98,4.93,2.98,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
221-144A,G,PB,0.50,I,VS2,G,EX,VG,M,BLUE,6.31*4.28*2.92,,,,GIA,2346719678,859.750,-54.750,68.20,64.00,,,,Faceted,NONE,,,,,,,,GIA 2346719678,"Twinning Wisp, Feather, Cavity, Indented Natural",MUMBAI,,INDIA,White,6.31,4.28,2.92,0.68,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 1,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-12A,G,RBC,0.90,F,SI1,EX,EX,EX,N,N,6.21*6.17*3.81,,,,GIA,7351034661,3226.500,-40.250,61.60,61.00,,,4.00,Faceted,NONE,,13.00,33.50,44.50,41.80,50,,GIA 7351034661,"Knot, Feather, Cloud, Crystal",NEW YORK,,INDIA,White,6.21,6.17,3.81,0.99,,TABLE BLACK 1,WHITE TABLE 2,TABLE OPEN 1,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
240-214A,G,RBC,0.22,E,VVS2,EX,EX,EX,F,N,3.89*3.87*2.42,,,,GIA,5353623146,1548.560,19.120,62.30,56.00,,,3.50,Faceted,NON,,16.00,36.00,43.00,40.80,50,,GIA 5353623146,Pinpoint,MUMBAI,,INDIA,White,3.89,3.87,2.42,0.99,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
211-214A,G,RBC,1.01,M,SI2,EX,EX,VG,N,N,6.47*6.52*3.90,,,,IGI,407973590,1288.000,-54.000,59.90,61.00,,,3.80,Faceted,Pointed,,13.00,33.20,43.50,41.10,,,,,NEW YORK,,INDIA,White,6.47,6.52,3.90,1.01,,TABLE BLACK 3,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
225-45A,G,RBC,1.40,M,SI2,EX,EX,EX,M,BLUE,7.14*7.08*4.46,,,,GIA,6341787606,1806.000,-35.500,62.80,56.00,,,3.50,Faceted,NONE,,16.00,36.50,43.00,40.60,50,,GIA 6341787606,"Crystal, Feather, Cavity, Natural",NEW YORK,,INDIA,BROWN,7.14,7.08,4.46,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN NO,A pinpoint is not shown. Internal graining is not shown.,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
221-494A,G,RBC,0.51,M,VS1,EX,EX,EX,M,BLUE,5.11*5.08*3.18,,,,GIA,7356143407,752.000,-53.000,62.50,57.00,,,3.50,Faceted,NONE,,16.00,36.50,43.00,40.80,50,,GIA 7356143407,"Cloud, Crystal, Pinpoint, Needle",MUMBAI,,INDIA,White,5.11,5.08,3.18,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
241-98A,G,RBC,1.05,M,SI2,EX,EX,EX,N,N,6.62*6.57*3.99,,,,GIA,2357170809,1428.000,-49.000,60.50,56.00,,,3.50,Faceted,NONE,,14.00,32.50,43.00,40.80,45,,GIA 2357170809,"Crystal, Needle",NEW YORK,,INDIA,White,6.62,6.57,3.99,0.99,,TABLE BLACK 1,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN NO,Pinpoints are not shown.,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
DG101-1,G,MQ,0.50,H,VS1,EX,VG,VG,N,,7.63*4.34*2.53,,,,GIA,6351749399,1430.000,-35.000,58.30,62.00,,,,Faceted,Medium,,,,,,,,,,MUMBAI,,INDIA,White,7.63,4.34,2.53,0.57,,TABLE BLACK 0,WHITE TABLE 1,TABLE OPEN 0,None,0,SURE,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
205-1O,G,PB,0.64,K,SI1,EX,EX,G,M,BLUE,7.51*4.73*2.84,,,,GIA,2346955846,650.000,-50.000,59.90,62.00,,,,Faceted,NONE,,,,,,,,GIA 2346955846,"Feather, Crystal",MUMBAI,,INDIA,White,7.51,4.73,2.84,0.63,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
235-118A,G,OV,0.75,M,SI1,VG,EX,G,F,N,6.95*4.85*2.76,,,,GIA,1358178291,0.000,-10.750,57.00,58.00,,,,Faceted,NON,,,,,,,,GIA 1358178291,"Feather, Indented Natural, Twinning Wisp, Natural",MUMBAI,,INDIA,White,6.95,4.85,2.76,0.70,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,NEW YORK,SURE,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
222-305A,G,RBC,0.31,M,VVS1,EX,EX,EX,N,N,4.36*4.34*2.75,,,,GIA,7356097372,668.500,-52.250,63.10,57.00,,,3.50,Faceted,NONE,,15.00,34.50,44.50,41.80,50,,GIA 7356097372,"Pinpoint, Feather",MUMBAI,,INDIA,White,4.36,4.34,2.75,1.00,,TABLE BLACK 0,WHITE TABLE 0,TABLE OPEN 0,None,0,EYE CLEAN YES,,"GIA Color Is:-M, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
215-20A,G,PB,0.33,I,VVS2,EX,EX,VG,N,N,5.83*3.84*2.36,,,,GIA,6342307791,729.950,-43.850,61.60,58.00,,,,Faceted,NONE,,,,,,,,GIA 6342307791,"Cloud, Needle, Pinpoint, Feather",MUMBAI,,INDIA,White,5.83,3.84,2.36,0.66,,TABLE BLACK 0,NONE VISIBLE,TABLE OPEN 0,None,0,EYE CLEAN YES,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
222-321A,G,PB,0.41,H,SI2,EX,EX,VG,F,N,6.54*4.20*2.48,,,,GIA,2347827774,750.750,-42.250,59.10,60.00,,,,Faceted,NONE,,,,,,,,GIA 2347827774,"Feather, Knot",MUMBAI,,INDIA,White,6.54,4.20,2.48,0.64,,NONE VISIBLE,WHITE TABLE 2,TABLE OPEN 1,None,0,EYE CLEAN NO,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
SD-072025,G,RBC,1.51,H,SI2,EX,VG,VG,N,,7.31*7.22*4.61,,,,GIA,2357745118,4485.000,-35.000,63.50,56.00,,,,Faceted,0,,0.17,,0.44,,,,,,MUMBAI,,INDIA,White,7.31,7.22,4.61,0.99,,TABLE BLACK 1,WHITE TABLE 1,TABLE OPEN 0,None,0,MINOR,0,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,,,,,,,
