Stock #,Availability,Shape,Weight,Color,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Measurements Length,Measurements Width,Measurements Depth,Lab,Certificate ID,Treatment,Price Per Carat,Discount,Depth,Table,Girdle Thin,Girdle Thick,Girdle,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Milky Inclusions,Black Inclusions,White Inclusions,Open Inclusions,Center Inclusions,Pavilion Angle,Laser Inscription,Member Comments,Supplier Comments,Country,State,City,Parcel Stones,CertificateLink,Certificate Comment,Diamond Image,Diamond Video,Is Matched Pair Separable,Pair Stock #,Eye Clean,Shade,Brand,Type2A,Type2ALink,Trade Show,ReportType,reportIssueDate,reportIssueLocation,diamondJourney,cashDiscount%,Star Length,Lower Half,Heart and Arrow,H & A Image,Plotting Image
242-14A,G,RBC,1.01,F,,,,SI2,EX,EX,EX,N,N,6.49*6.53*3.91,6.49,6.53,3.91,IGI,425073423,,2581.250,56.250,60.10,61.00,Medium (Faceted) ,,3.50,,Pointed,,12.50,32.20,44.00,NONE,BT1,WT1,TO0,NV,41.60,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/242-14A/still.jpg,https://srd.world/vision360/vision360.html?d=242-14A&s=0,,,MINOR,NO BGM,,,,,,,,,,,,NEW YORK,,
221-391A,G,OV,0.40,J,,,,SI2,VG,EX,VG,N,N,5.86*4.12*2.46,5.86,4.12,2.46,GIA,7341850991,,693.000,37.000,59.80,57.00,STK to VTK,,,Faceted,NONE,,,,,NONE,BT0,WT0,TO0,CO1,,GIA 7341850991,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/221-391A/still.jpg,https://srd.world/vision360/vision360.html?d=221-391A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
SD11936,G,RBC,1.00,E,,,,I1,VG,EX,VG,N,,6.39*6.37*4.04,6.39,6.37,4.04,GIA,5353704258,,2322.000,46.000,63.40,54.00,MED to STK,,,Faceted,0,,0.16,,0.45,NONE,BT2,WT1,TO0,CO2,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,MEDIUM,NO BGM,,,,,,,,,,0,0,,,
0119-9,G,RBC,0.96,I,,,,I1,VG,EX,VG,N,N,6.23*6.16*3.97,6.23,6.16,3.97,GIA,1349221692,,2114.000,24.500,64.10,56.00,,,,,,,16.50,,43.50,NONE,BT0,WT0,TO0,CO1,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/0119-9/still.jpg,https://srd.world/vision360/vision360.html?d=0119-9&s=0,,,MINOR,NO BGM,,,,,,,,,,,,,,
221-289A,M,RBC,0.31,M,,,,SI1,EX,EX,EX,F,N,4.38*4.36*2.67,4.38,4.36,2.67,GIA,6355096693,,532.500,46.750,61.00,60.00,MED to STK,,4.00,Faceted,NONE,,12.50,32.50,44.50,NONE,BT2,WT2,TO0,CO0,41.80,GIA 6355096693,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,HONG KONG,,,,https://srd.world/vision360/imaged/221-289A/still.jpg,https://srd.world/vision360/vision360.html?d=221-289A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,50,80,,,
212-96A,G,PB,0.32,J,,,,VS2,VG,VG,G,N,N,6.04*4.02*2.23,6.04,4.02,2.23,GIA,5343482960,,617.500,38.250,55.40,62.00,THN to VTK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO0,CO0,,GIA 5343482960,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/212-96A/still.jpg,https://srd.world/vision360/vision360.html?d=212-96A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
225-37A,G,RBC,1.01,L,,,,SI2,EX,EX,EX,F,N,6.39*6.46*3.94,6.39,6.46,3.94,IGI,414079630,,1493.250,54.750,61.40,61.00,Medium To Slightly Thick (Faceted) ,,4.00,,Pointed,,13.00,33.90,44.00,NONE,BT1,WT1,TO1,CO1,41.70,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/225-37A/still.jpg,https://srd.world/vision360/vision360.html?d=225-37A&s=0,,,MINOR,NO BGM,,,,,,,,,,,,NEW YORK,,
241-64A,M,RBC,1.01,K,,,,VS1,VG,EX,VG,N,N,6.29*6.21*4.04,6.29,6.21,4.04,GIA,1357031123,,2552.000,42.000,64.70,60.00,STK to THK,,5.50,Faceted,NONE,,14.50,35.50,44.50,NONE,BT1,NV,TO0,CO1,41.80,GIA 1357031123,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-64A/still.jpg,https://srd.world/vision360/vision360.html?d=241-64A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,80,,,
3227-5,G,RBC,1.17,I,,,,VVS2,EX,EX,EX,N,N,6.74*6.71*4.19,6.74,6.71,4.19,GIA,1335823977,,4095.000,37.000,62.30,58.00,MED to STK,,,Faceted,,,14.50,,43.50,NONE,BT0,WT0,TO0,CO0,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/3227-5/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,SURE,NO BGM,,,,,,,,,,,,,,
232-205B,G,EM,0.30,E,,,,IF,EX,EX,VG,N,N,4.35*3.37*2.32,4.35,3.37,2.32,GIA,1359346116,,1147.700,50.100,68.80,63.00,STK to THK,,,,NON,,,,,NONE,BT0,WT0,TO0,NV,,GIA 1359346116,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/232-205B/still.jpg,https://srd.world/vision360/vision360.html?d=232-205B&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
245-27A,M,RBC,0.80,H,,,,SI2,EX,EX,VG,N,N,5.93*5.89*3.69,5.93,5.89,3.69,GIA,7352470537,,2117.000,27.000,62.40,57.00,THN to STK,,4.00,Faceted,NON,,15.00,35.00,43.50,NONE,BT0,WT1,TO0,CO1,41.00,GIA 7352470537,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-27A/still.jpg,https://srd.world/vision360/vision360.html?d=245-27A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
SA-21,G,RBC,1.02,F,,,,SI2,EX,EX,VG,N,N,6.38*6.41*4.00,6.38,6.41,4.00,GIA,2296391251,,3658.000,38.000,62.50,58.00,,,,,,,15.50,,43.50,NONE,BT0,WT1,TO0,NV,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/SA-21/still.jpg,https://srd.world/vision360/vision360.html?d=SA-21&s=0,,,MINOR,NO BGM,,,,,,,,,,,,,,
246-32A,G,PR,1.00,H,,,,SI1,G,EX,VG,S,BLUE,5.19*5.11*4.02,5.19,5.11,4.02,GIA,2354518720,,2040.000,57.500,78.60,72.00,VTK to ETK,,,,NON,,,,,NONE,BT1,WT1,TO0,CO1,,GIA 2354518720 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/246-32A/still.jpg,https://srd.world/vision360/vision360.html?d=246-32A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,NEW YORK,,
1219-16,G,RBC,1.00,G,,,,SI2,VG,VG,G,N,N,6.30*6.23*4.05,6.30,6.23,4.05,IGI,400911922,,2198.000,60.750,64.50,55.00,MED to STK,,,Faceted,,,17.00,36.90,42.50,NONE,BT2,WT2,TO0,NV,40.50,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/1219-16/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
SD121933,G,RBC,1.20,G,,,,I1,VG,EX,VG,M,BLUE,6.81*6.71*4.29,6.81,6.71,4.29,GIA,6352704362,,2808.000,28.000,63.40,56.00,THN to MED,,,Faceted,0,,0.17,,0.44,NONE,BT1,WT2,TO0,CO0,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,MINOR,NO BGM,,,,,,,,,,0,0,,,
227-97B,G,PR,0.69,H,,,,SI2,EX,EX,G,N,N,4.80*4.79*3.45,4.80,4.79,3.45,GIA,1348798679,,1003.500,44.250,72.00,72.00,STK to THK,,,Faceted,NONE,,,,,NONE,BT2,WT2,TO0,CO0,,GIA 1348798679,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/227-97B/still.jpg,https://srd.world/vision360/vision360.html?d=227-97B&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
DSRD-1,G,RBC,1.00,E,,,,SI2,EX,EX,VG,F,,6.39*6.34*4.00,6.39,6.34,4.00,IGI,432026632,,2790.000,55.000,62.70,55.00,Thin To Medium (Faceted) ,,,0,Medium,,16.50,36.40,42.50,NONE,BT1,WT1,TO1,CO2,40.60,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/DSRD-1/still.jpg,https://srd.world/vision360/vision360.html?d=DSRD-1&s=0,,,MINOR,NO BGM,,,,,,,,,,0,0,,,
1219-3,G,RBC,0.97,G,,,,I1,G,VG,G,N,N,6.22*6.10*4.02,6.22,6.10,4.02,GIA,2347252169,,2128.000,33.500,65.30,57.00,,,,,,,16.00,,44.00,NONE,BT0,WT1,TO0,CO1,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/1219-3/still.jpg,https://srd.world/vision360/vision360.html?d=1219-3&s=0,,,MINOR,NO BGM,,,,,,,,,,,,,,
211-221A,G,RBC,1.00,M,,,,SI2,VG,EX,VG,F,N,6.28*6.34*3.95,6.28,6.34,3.95,IGI,414079633,,1106.000,60.500,62.50,60.00,Slightly Thick To Thick (Faceted) ,,4.40,,Pointed,,14.50,35.40,44.00,NONE,BT1,WT1,TO0,CO1,41.40,,"GIA Color Is:-W, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/211-221A/still.jpg,https://srd.world/vision360/vision360.html?d=211-221A&s=0,,,MINOR,NO BGM,,,,,,,,,,,,,,
2039-2,G,PR,2.00,J,,,,VVS2,VG,EX,EX,N,N,6.59*6.57*5.11,6.59,6.57,5.11,IGI,400911919,,3785.500,43.500,77.80,71.50,MED to MED,,,Faceted,,,18.00,54.50,57.50,NONE,BT0,WT0,TO0,CO0,39.20,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/2039-2/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,SURE,NO BGM,,,,,,,,,,,,,,
2986-7,M,CU,1.10,G,,,,VVS1,G,EX,EX,N,N,5.69*5.64*3.90,5.69,5.64,3.90,GIA,2337183288,,3085.350,53.950,69.20,65.00,STK to VTK,,,Faceted,,,,,,NONE,BT0,WT0,TO0,CO0,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/2986-7/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,SURE,NO BGM,,,,,,,,,,,,,,
221-293A,G,RBC,0.40,M,,,,VS2,EX,EX,VG,N,N,4.70*4.64*2.96,4.70,4.64,2.96,GIA,6345766038,,546.000,54.500,63.30,56.00,THN to STK,,3.50,Faceted,NONE,,16.50,36.50,43.00,NONE,BT0,WT0,TO0,CO0,40.80,GIA 6345766038,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/221-293A/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,80,,,
225-192B,G,RBC,0.30,M,,,,SI2,EX,EX,VG,N,N,4.33*4.29*2.62,4.33,4.29,2.62,GIA,6351630496,,427.120,46.610,60.90,59.00,MED to STK,,4.00,Faceted,NON,,13.50,33.50,43.00,NONE,BT1,NV,TO0,CO0,40.80,GIA 6351630496,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/225-192B/still.jpg,https://srd.world/vision360/vision360.html?d=225-192B&s=0,,,SURE,BROWN 2,,,,,,,,,,50,75,NEW YORK,,
246-102A,G,RBC,1.00,D,,,,I1,F,EX,VG,M,BLUE,6.08*6.03*4.02,6.08,6.03,4.02,GIA,3355505346,,2182.500,51.500,66.40,54.00,STK to ETK,,,F,NON,,19.00,40.00,39.50,NONE,NV,WT1,TO0,CO2,38.40,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/vision360.html?d=246-102A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,50,75,NEW YORK,,
227-85D,G,PB,0.39,G,,,,VVS2,EX,EX,VG,N,N,6.34*4.11*2.40,6.34,4.11,2.40,GIA,7343851033,,1088.000,32.000,58.40,61.00,STK to VTK,,,Faceted,NONE,,,,,NONE,BT0,NV,TO0,CO0,,GIA 7343851033,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/227-85D/still.jpg,https://srd.world/vision360/vision360.html?d=227-85D&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
245-111A,G,RBC,0.60,M,,,,SI2,EX,EX,EX,F,N,5.49*5.48*3.24,5.49,5.48,3.24,GIA,7358630691,,709.150,45.450,59.10,62.00,MED to STK,,3.50,Faceted,NON,,12.50,33.00,43.50,NONE,BT0,WT1,TO1,CO1,41.00,GIA 7358630691,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-111A/still.jpg,https://srd.world/vision360/vision360.html?d=245-111A&s=0,,,MEDIUM,BROWN 1,,,,,,,,,,50,75,NEW YORK,,
245-29D,G,OV,0.49,E,,,,SI2,VG,VG,G,F,N,6.73*4.27*2.66,6.73,4.27,2.66,GIA,6352627806,,1032.000,35.500,62.20,58.00,VTN to VTK,,,Faceted,NON,,,,,NONE,BT0,WT1,TO0,CO1,,GIA 6352627806,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-29D/still.jpg,https://srd.world/vision360/vision360.html?d=245-29D&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
245-106A,G,PB,0.70,H,,,,SI2,EX,EX,VG,M,BLUE,8.22*4.83*2.93,8.22,4.83,2.93,GIA,3355570004,,1296.000,46.000,60.70,58.00,MED to VTK,,,Faceted,NON,,,,,NONE,NV,WT1,TO0,CO1,,GIA 3355570004,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/245-106A/still.jpg,https://srd.world/vision360/vision360.html?d=245-106A&s=0,,,MEDIUM,NO BGM,,,,,,,,,,,,NEW YORK,,
225-98D,G,OV,0.30,I,,,,SI1,G,VG,G,N,N,5.28*3.62*2.33,5.28,3.62,2.33,GIA,6351056146,,616.000,44.000,64.30,63.00,STK to VTK,,,Faceted,NONE,,,,,NONE,BT0,WT0,TO0,CO3,,GIA 6351056146,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN YES,BROWN 1,,,,,,,,,,,,,,
240-287A,G,RBC,0.19,E,,,,VS2,EX,EX,EX,N,N,3.76*3.75*2.27,3.76,3.75,2.27,GIA,2357588710,,1289.600,-12.140,60.50,59.00,MED to STK,,3.50,Faceted,NON,,13.00,32.50,43.50,NONE,BT1,WT1,TO0,CO0,41.40,GIA 2357588710,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/240-287A/still.jpg,https://srd.world/vision360/vision360.html?d=240-287A&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
241-10A,G,OV,0.96,M,,,,VS2,G,EX,VG,N,N,7.81*5.57*3.22,7.81,5.57,3.22,GIA,1358183528,,846.000,53.000,57.80,56.00,VTN to ETK,,,Faceted,NON,,,,,NONE,NV,WT0,TO0,CO1,,GIA 1358183528,"GIA Color Is:-W, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-10A/still.jpg,https://srd.world/vision360/vision360.html?d=241-10A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
225-105D,G,RBC,0.23,F,,,,VVS1,EX,EX,EX,N,N,4.00*3.98*2.41,4.00,3.98,2.41,GIA,6351230074,,1666.250,-7.500,60.40,58.00,MED to STK,,3.50,Faceted,NONE,,13.50,32.50,44.00,NONE,BT0,WT0,TO0,CO0,41.40,GIA 6351230074 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/225-105D/still.jpg,https://srd.world/vision360/vision360.html?d=225-105D&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,50,75,,,
205-90A,G,OV,1.29,L,,,,I1,EX,EX,VG,S,BLUE,8.19*6.15*3.89,8.19,6.15,3.89,GIA,1343956737,,1173.000,31.000,63.30,59.00,MED to THK,,,Faceted,NONE,,,,,NONE,BT0,WT1,TO0,CO1,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/205-90A/still.jpg,https://srd.world/vision360/vision360.html?d=205-90A&s=0,,,SURE,NO BGM,,,,,,,,,,,,,,
244-61A,G,HT,0.57,F,,,,SI1,EX,EX,VG,N,N,4.90*5.78*3.31,4.90,5.78,3.31,GIA,2356644538,,1430.000,35.000,57.20,57.00,STK to ETK,,,Faceted,NON,,,,,NONE,BT1,NV,TO0,CO0,,GIA 2356644538,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/244-61A/still.jpg,https://srd.world/vision360/vision360.html?d=244-61A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
241-115A,G,CU,1.19,M,,,,VS2,VG,EX,VG,F,N,5.80*5.63*4.08,5.80,5.63,4.08,GIA,6355103630,,1995.000,0.250,72.40,57.00,VTK to ETK,,,F,NON,,,,,NONE,BT0,WT0,TO0,NV,,GIA 6355103630,"GIA Color Is:-U, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-115A/still.jpg,https://srd.world/vision360/vision360.html?d=241-115A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
232-266A,G,EM,0.40,F,,,,VVS1,EX,EX,VG,N,N,4.98*3.45*2.39,4.98,3.45,2.39,GIA,2357026521,,1140.000,52.500,69.10,63.00,MED to THK,,,Faceted,NONE,,,,,NONE,BT0,WT0,TO0,CO0,,GIA 2357026521,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,NEW YORK,,,,https://srd.world/vision360/imaged/232-266A/still.jpg,https://srd.world/vision360/vision360.html?d=232-266A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
7217-10,G,CU,1.20,H,,,,VS2,G,EX,VG,N,N,6.01*5.64*4.05,6.01,5.64,4.05,GIA,6355203017,,2875.000,42.500,71.90,65.00,THK to VTK,,,Faceted,,,,,,NONE,BT1,WT1,TO0,CO0,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/7217-10/still.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,SURE,NO BGM,,,,,,,,,,,,,,
223-49A,G,OV,2.01,K,,,,VS2,G,EX,VG,S,BLUE,9.12*6.77*4.67,9.12,6.77,4.67,GIA,1345482500,,3064.500,43.250,69.00,57.00,MED to ETK,,,Faceted,NONE,,,,,NONE,BT1,WT0,TO0,CO2,,GIA 1345482500,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/223-49A/still.jpg,https://srd.world/vision360/vision360.html?d=223-49A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,,,
232-256A,G,EM,0.31,J,,,,SI2,EX,EX,VG,N,N,4.30*3.24*2.19,4.30,3.24,2.19,GIA,1353258951,,408.000,49.000,67.60,63.00,4.3,,,3.24,2.19,,,,,NONE,BT1,WT1,TO0,CO0,,GIA 1353258951,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/232-256A/still.jpg,https://srd.world/vision360/vision360.html?d=232-256A&s=0,,,EYE CLEAN YES,NO BGM,,,,,,,,,,,,NV,,
241-99A,G,OV,1.00,M,,,,SI1,G,EX,VG,F,N,6.88*5.40*3.68,6.88,5.40,3.68,GIA,7352154316,,980.000,51.000,68.20,59.00,THK to ETK,,,Faceted,NON,,,,,NONE,BT1,WT1,TO0,CO1,,GIA 7352154316,"GIA Color Is:-U, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-99A/still.jpg,https://srd.world/vision360/vision360.html?d=241-99A&s=0,,,SURE,NO BGM,,,,,,,,,,,,NEW YORK,,
243-27B,G,RBC,0.34,E,,,,IF,EX,EX,EX,M,BLUE,4.50*4.48*2.75,4.50,4.48,2.75,GIA,5356516788,,2175.000,27.500,61.20,60.00,MED to STK,,3.50,Faceted,NON,,13.00,33.00,44.50,NONE,BT0,WT0,TO0,CO0,41.60,GIA 5356516788 ,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/243-27B/still.jpg,https://srd.world/vision360/vision360.html?d=243-27B&s=0,,,SURE,NO BGM,,,,,,,,,,50,75,NEW YORK,,
241-109A,G,OV,1.00,M,,,,SI1,G,VG,VG,N,N,7.25*5.47*3.54,7.25,5.47,3.54,GIA,5356153360,,815.000,59.250,64.70,57.00,STK to ETK,,,Faceted,NONE,,,,,NONE,BT1,WT0,TO0,CO1,,GIA 5356153360,"GIA Color Is:-N, WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/241-109A/still.jpg,https://srd.world/vision360/vision360.html?d=241-109A&s=0,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
221-435B,G,OV,0.30,J,,,,SI2,EX,EX,VG,N,N,5.26*3.68*2.32,5.26,3.68,2.32,GIA,2346955603,,492.000,38.500,62.90,58.00,STK to VTK,,,Faceted,NONE,,,,,NONE,BT1,WT1,TO1,CO0,,GIA 2346955603,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/Vision360/NoMedia/noimage.jpg,https://srd.world/vision360/NoMedia/novideo.pdf,,,EYE CLEAN NO,NO BGM,,,,,,,,,,,,,,
DS-25,G,RBC,1.01,D,,,,I1,EX,VG,EX,F,,6.41*6.39*4.01,6.41,6.39,4.01,GIA,2357704312,,3195.000,29.000,62.60,55.00,MED to STK,,,Faceted,Pointed,,0.16,,0.43,NONE,BT1,WT1,TO0,CO0,,,"WeChat:- srdgems,Whatsapp:-8401222840,7226802386 Skype:-SRD GEMS , (for Volume Adavntage call Us)",,INDIA,,MUMBAI,,,,https://srd.world/vision360/imaged/DS-25/still.jpg,https://srd.world/vision360/vision360.html?d=DS-25&s=0,,,MEDIUM,NO BGM,,,,,,,,,,0,0,,,
